date,station,depth_m,temp_c,sal_psu,density_kg_per_m3,par,fluor_mg_per_m3,turbidity_ntu,O2_umol_per_kg,O2_pct_sat,ph
20240905,S4,62.947,8.7201,32.3397,25.0795,6.02E-05,0.1241,0.5919,206.145,71.611,8.125
20240905,S4,63.112,8.7062,32.3447,25.0855,6.02E-05,0.1277,0.5687,206.576,71.741,8.126
20240905,S4,63.349,8.6959,32.3459,25.088,4.49E-05,0.1387,0.5136,206.951,71.856,8.126
20240905,S4,63.576,8.6924,32.3473,25.0896,4.49E-05,0.1369,0.5194,207.168,71.926,8.127
20240905,S4,63.763,8.6926,32.3463,25.0889,4.49E-05,0.1241,0.589,207.209,71.94,8.127
20240905,S4,63.941,8.6897,32.3482,25.0908,4.49E-05,0.125,0.589,207.251,71.951,8.126
20240905,S4,64.14,8.6803,32.3507,25.0942,4.49E-05,0.125,0.5919,207.137,71.898,8.126
20240905,S4,64.419,8.6632,32.3542,25.0995,6.02E-05,0.125,0.589,206.758,71.741,8.126
20240905,S4,64.764,8.6098,32.3702,25.1201,6.02E-05,0.1259,0.589,206.553,71.593,8.126
20240905,S4,65.03,8.5518,32.3565,25.1181,6.02E-05,0.1259,0.589,206.672,71.535,8.126
20240905,S4,65.164,8.5451,32.3507,25.1145,4.49E-05,0.125,0.6963,206.488,71.457,8.125
20240905,S4,65.235,8.5569,32.3492,25.1116,4.49E-05,0.125,0.731,205.951,71.29,8.125
20240905,S4,65.302,8.5711,32.3563,25.1151,6.02E-05,0.1241,0.6412,205.292,71.088,8.123
20240905,S4,65.433,8.5758,32.3585,25.1161,6.02E-05,0.1241,0.589,204.617,70.862,8.122
20240905,S4,65.704,8.5677,32.3625,25.1204,6.02E-05,0.1314,0.6122,204.052,70.656,8.12
20240905,S4,66.064,8.5378,32.3635,25.1257,4.49E-05,0.1378,0.6354,203.684,70.482,8.12
20240905,S4,66.372,8.533,32.365,25.1275,6.02E-05,0.1332,0.7049,203.383,70.372,8.119
20240905,S4,66.534,8.5109,32.3662,25.1319,4.49E-05,0.1241,0.8267,203.196,70.273,8.119
20240905,S4,66.605,8.5062,32.3637,25.1306,4.49E-05,0.1241,0.7774,203.083,70.225,8.119
20240905,S4,66.688,8.499,32.3645,25.1322,6.02E-05,0.1241,0.6354,202.953,70.169,8.118
20240905,S4,66.817,8.4976,32.3685,25.1356,6.02E-05,0.1231,0.6267,202.72,70.088,8.119
20240905,S4,67.024,8.4963,32.3676,25.1351,4.49E-05,0.125,0.589,202.52,70.017,8.118
20240905,S4,67.325,8.498,32.3705,25.1372,4.49E-05,0.1241,0.589,202.337,69.958,8.118
20240905,S4,67.616,8.492,32.3782,25.1441,4.49E-05,0.125,0.8238,202.346,69.956,8.118
